,index,Date,Time,Location,Operator,Route,Flight#,Type,Registration,Serial#,Aboard,Fatalities,Ground,Summary
3483,3483,1984/06/04,0,"Windsor Locks, Connecticut",Air Continental,/,6695,Learjet 23A,FS-XOI,23-085,3.0,3.0,0.0,"According to witnesses, the aircraft made a normal approach to Rwy 33 with no apparent abnormalities. However, when it was about 200 ft over the approach lights, they heard an increase in the engine thrust & the aircraft's descent stopped. Two witnesses thought the aircrew initiated a go-around. Immediately thereafter, the aircraft began an apparent level turn to the right. As it turned thru about 90 deg of turn, the bank angle had increased to nearly 90 deg, the aircraft's nose dropped & the plane crashed in a nose low attitude & burned. Malfunction of spoiler system for reasons undetermined."
3484,3484,1984/06/19,02:55:00,"Island Beach, New Jersey",Air Taxi - Raco Helicopters Corp.,/,5097,Aerospeciale AS-350D,BI-LZV,5316,3.0,3.0,0.0,"The on-demand air taxi flight departed for garden city with one passenger. The reported weather at the approximate time of the accident indicated low clouds, thunderstorm activity including rain and lighting. One witness stated that he observed the helicopter flying at an altitude of approximately 60 to 80 feet above the water. The helicopter wreckage was found the next day on the beach. Continued VFR flight into IMC. Improper altitude."
3485,3485,1984/06/28,0,"Near Sao Pedro d' Aldeia, Brazil",TAM Lineas Aéreas Regional,/,5757,Embraer 110C Bandeirante,BO-AOG,110-013,18.0,18.0,0.0,The aircraft flew into heavy rain and a cloud shrouded hill after the pilot abandoned IFR and descended VFR. The plane was carrying journalists.
3486,3486,1984/07/01,11:34:00,"Port Hardy, British Columbia, Canada",Coval Air,/,8011,Beechcraft 18,FX-GTI,6072,9.0,9.0,0.0,"While attempting to take off, gained 100 feet in altitude then nosed into the end of the runway tarmaand burned. Chartered by Painter's Lodge fishing resort."
3487,3487,1984/07/11,0,"Off Buenavista, Philippines",Military - Philippine Air Force,/,6950,Bell UH-1H,GM-ACW,5784,30.0,30.0,0.0,Crashed into the PacifiOcean off the coast of Marinduque Island.
3488,3488,1984/07/12,0,"Sigonella AFB, Italy",Military - U.S. Air Force,/,3019,Lockheed C-141B,MG-LUG,300-6037,9.0,9.0,0.0,"Failure of the No. 4 engine caused the No. 3 engine to failue due to debris. Debris also started a fire in the cargo hatch. The crew was overcome by smoke and cyanide, lost control and crashed."
3489,3489,1984/07/21,09:20:00,"Ouzinkie, Alaska",Air Taxi,"Kodiak, AK - Ouzinkie, AK",8086,Grumman G-21A,AF-MDH,1553,4.0,4.0,0.0,"The aircraft collided with the waters of the narrow strait, northwest of Monashka Bay. Witnesses reported the weather was IFR in the area at the time. The aircraft was not equipped for instrument flight nor was the pilot current with FARS to conduct IFR operations. Continued VFR flight into IMC."
3490,3490,1984/07/21,13:40:00,"Tau Island, American Samoa",South PacifiIsland Airways,Pango Pango - Tau Island,8030,de Havilland Canada DHC-6 Twin Otter 300,LS-NLV,669,14.0,1.0,0.0,While turning from its base leg onto the final approach the fight controls suddenly collapsed and the nose of the plane pitched up. The pilot attempted to maintain control  of the aircraft by using the throttle and flap controls but it collided with a vehicle and terminal building.  A rusted elevator control cable broke. Improper maintenance  procedures. Total failure of the elevator control due to corrosion.
3491,3491,1984/07/25,07:30:00,"Anchorage, Alaska",Air Taxi,"Anchorage, AK - Cantwell, AK",3363,Cessna 401,UC-BJB,1886,5.0,5.0,0.0,Disappeared en route. Aircraft and occupants never found. Reasons undetermined.
3492,3492,1984/08/02,08:05:00,"Vieques, Puerto Rico",Vieques Air Link,"Vieques, PR - St. Croix, VI",7352,Britten-Norman BN-2A Islander,CM-TDJ,0038,9.0,9.0,0.0,Banked to the left shortly after taking off and crashed into the ocean. Aircraft overloaded and improperly loaded. Inexperienced pilot. Water contamination of fuel.
3493,3493,1984/08/05,0,"Dacca, Bangladesh",Bangladesh Biman,Chittagong-Patenga - Dhaka,1172,Fokker F-27 Friendship 600,EQ-MGB,10453,49.0,49.0,0.0,"Crashed in the water, 1,800 ft. short of the runway on a second landing attempt after a go-around on a VOR approach."
3494,3494,1984/08/05,0,"Nawabshah, Pakistan",Aeroflot,Karachi - Tashkent,1568,Antonov AN-12BP,HE-ZSW,7252,24.0,24.0,0.0,The plane flew into severe weather and hail penetrated the oil radiatiors. Power was lost in all four engines and load limits were exceeded during an emergency descent. The plane broke up and crashed.
3495,3495,1984/08/08,0,"Machakos, Kenya",Pioneer Airlines,/,7869,Cessna 402A,TJ-JHN,402A-0038,9.0,9.0,0.0,/
3496,3496,1984/08/11,01:00:00,"Near Memphis, Tennessee",Aviation Enterprises,Memphis - Chicago,5677,Douglas DC-3,WS-KBP,12938,3.0,3.0,0.0,During takeoff the crew lost the No. 1 engine. The plane struck utility poles and crashed through the roof of a building. Missing spark plug from the No. 1 engine in the No. 14 cylinder.
3497,3497,1984/08/15,0,"Near Wamena, Indonesia",Airfast Indonesia,/,3610,Douglas C-47A,XP-JLF,12485,3.0,2.0,0.0,Crashed into a mountain while en route.
3498,3498,1984/12/11,19:32:00,"Pontiac, Michigan",Air Taxi - Richards Aviation Inc.,"Bolivar, TN - Pontiac, MI",1068,Piper PA-31,KX-YOM,7157,2.0,2.0,0.0,The aircraft departed the airport with one dry air pump inoperative and the other pump reading low. Aircraft control was lost during an instrument approach in IMC. Operation with known deficiencies in equipment. Flight/Nav instruments disabled. Emergency procedures not followed.
3499,3499,1984/08/24,11:18:00,"San Luis Obispo, California",Wings West Airlines / Private,San Luis Obispo - San Fransisco,5536,Beechcraft C99 / Rockwell 112TC,UR-ZEY,U187 /,17.0,17.0,0.0,"A head-on midair collision occurred at 3, 400 ft. near San Luis Obispo Airport . The Beech was climbing and the Rockwell was descending. Two aboard the Rockwell aircraft were killed along with 15 aboard the Beech.  Failure of the pilots of both aircraft to follow the recommended communications and traffiadvisory practices for uncontrolled airports in alerting each other to their presence. Underlying the accident were the physiological limitations of human vision and reaction time."
3500,3500,1984/08/30,0,"Douala, Cameroon",Cameroon Airlines,Douala - Yaounde,6470,Boeing B-737-2H7C,HT-QKL,21295/484,116.0,2.0,0.0,"When taxing tin preperation to takeoff, a compressor disin the No.2 engine failed. Debris punctured the wing and fuel tank causing an uncontrollable fire that destroyed the aircraft."
3501,3501,1984/09/06,0,"Mt. Musaka, Papua, New Guinea",Talair,/,9826,Britten-Norman BN-2A-20 Islander,YJ-RHQ,0756,11.0,9.0,0.0,Crashed into Mt. Musaka.
3502,3502,1984/09/07,21:10:00,"Near Naples, Florida",Provincetown - Boston Airlines,"Naples, FL - Tampa, FL",4318,Cessna 402C,EG-SBQ,402C-06550,6.0,1.0,0.0,Lost both engines while taking off and crashed  wheels up in a field. Fueled with jet fuel by accident.
3503,3503,1984/09/11,0,"Near the Kwango River, Zaire",MMM Aero Services,/,6294,Handley Page Dart Herald 202,KN-HFL,303,30.0,30.0,0.0,/
3504,3504,1984/09/16,0,"Opole, Poland",APRL,Airshow,7673,Antonov An-2T,US-LPV,1G168-04,26.0,11.0,0.0,Crashed during takeoff. Overloaded
3505,3505,1984/09/18,11:04:00,"Quito, Ecuador",AECA Cargo,Quito - Guayaquil,4998,McDonnell Douglas DC-8F-55,OM-YEY,45754/224,4.0,4.0,49.0,"While taking off, the cargo plane was unable to gain altitude and crashed into buildings at the end of the runway. Improper calculation of center of gravity, load distribution and maximum takeoff weight for existing runway and weather conditions."
3506,3506,1984/09/21,0,"Near Sarakchar, Afghanistan",Military - Russian Air Force,/,9017,Antonov AN-12,QD-XIK,942,50.0,50.0,0.0,Shot down by Afghan rebels.
3507,3507,1984/09/26,11:55:00,"near Orillia, Ontario, Canada",Air Niagara,Training,3110,Cessna 500 Citation I,UV-MWZ,500-0032,2.0,2.0,0.0,While on VFR training the aircraft was 200 feet over the runway when it suddenly rolled inverted and struck the ground.
3508,3508,1984/10/02,08:15:00,"Ausin, Nevada",Air Taxi - Desert Flying Service,"Reno, NV - Eureka, NV",2957,Cessna R182,WV-IWP,222,3.0,3.0,0.0,Deteriorating weather (fog) was encountered as the pilot followed a highway to his destination on an easterly heading. On scene evidence indicated that the aircraft impacted left wing tip first on a northerly heading near the east end of a box canyon. Flight into adverse weather. Air speed not maintained.
3509,3509,1984/10/09,0,"Fort Franklin, Canada",Nahanni Air Services,Fort Norman - Fort Franklin,3529,de Havilland Canada DHC-6 Twin Otter 100,QM-WVN,115,7.0,7.0,0.0,Struck a tower while on approach in fog.  Weather was below VFR minima and not reported to the pilot because of a lack of observation and communications facilities at Fort Franklin. The decision of the pilot to continue the approach in fog.
3510,3510,1984/10/11,05:40:00,"Near Omsk, Russia",Aeroflot,Krasnodar - Omsk,8236,Tupolev TU-154B,ZU-GAB,243,179.0,174.0,4.0,"While landing, the crew noticed something on the runway, took evasive action and crashed into two cleaning vehicles. The flying control officer (ATC)  fell asleep and did not inform the controllers cleaning vehicles were on the runway."
3511,3511,1984/10/11,17:37:00,"Goose Bay, Newfoundland, Canada",Labradore Airways,St. Anthony - Goose Bay,2558,de Havilland Canada DHC-6 Twin Otter 100,UG-WNY,34,4.0,4.0,0.0,The air ambulance struck a mountain in near zero visibility and snow bounced twice and came to rest in a canyon. The VFR flight was attempted in mountainous terrain in marginal weather conditions. The aircraft was flown at an altitude which did not provide terrain clearance and the aircraft struck amountain for undetermined reasons.
3512,3512,1984/10/27,0,"Near Kabul, Afghanistan",Mililtary - Soviet Air Force,/,7047,Ilyushin IL-76M,XK-FAU,083412354,20.0,20.0,0.0,Shot down by enemy fire.
3513,3513,1984/10/28,0,"Near Kabul, Afghanistan",Military - Russian Air Force,/,9490,Antonov AN-22,RA-YNI,7340106,240.0,240.0,0.0,Shot down by Afghan rebels shortly after taking off. Worst single military aircraft disaster in history.
3514,3514,1984/10/31,0,"Off Davao, Philippines",Village Airways,Davao - Manila,1712,Douglas C-47B,GW-IKG,20811,4.0,4.0,0.0,The cargo plane went missing in the PacifiOcean while en route.
3515,3515,1984/11/19,0,"Inverness, England",Euroair,/,5517,Embraer 110P1 Bandeirante,RC-HDZ,110294,1.0,1.0,0.0,"Crashed into a 1,600 ft. hill after taking off from Inverness."
3516,3516,1984/11/20,0,"Loja, Peru",TAME,Loja - Zumba,1066,de Havilland Canada DHC-6 Twin Otter 300,PI-GGM,446,14.0,14.0,0.0,Crashed into high terrain.
3517,3517,1984/12/04,0,"Near Kostroma, USSR",Aeroflot,/,1798,LET 410 M,RP-HDU,770706,10.0,10.0,0.0,/
3518,3518,1984/12/06,18:14:00,"Jacksonville, Florida",Provincetown - Boston Airlines,Jacksonville - Tampa,8783,Embraer 110P1 Bandeirante,IK-KDS,110-365,13.0,13.0,0.0,"After taking off, the aircraft went into a steep dive, crashed and burned 7,800 ft. beyond the departure end of the runway. Malfunction of the elevator control system or elevator trim system. The reaction of the flight crew to correct the pitch control problem overstressed the left elevator control rod, which resulted in asymmetrical elevator deflection and overstress failure of the horizontal stabilizer attachment structure."
3519,3519,1986/03/22,0,"Jammuin, India",Military - Indian Air Force,/,4349,Antonov An-32,TN-HDK,5793,19.0,19.0,0.0,/
3520,3520,1984/12/17,23:00:00,"Bainbridge, New York",Air Taxi - Delaware Aviation LLC,"Binghamton, NY - Bainbridge, NY",9334,PA-23-250,XV-QWO,2470,4.0,4.0,0.0,"VFR conditions prevailed when the fight departed. The destination was reported as clear until just prior to the estimated time of arrival, then fog began to form. Witnesses who heard the aircraft, just prior to the accident, reported heavy fog. After making an approach to Rwy 7, the aircraft turned to a heading of about 220 deg, then collided with trees on a wooded hill, .85 mi north of the airport. Continued VFR flight into adverse weather conditions."
3521,3521,1984/12/19,14:00:00,"Near Jaen, Peru",Fuerza Aérea del Peru,/,4398,de Havilland Canada DHC-6 Twin Otter 300,EP-WWR,317,21.0,21.0,0.0,"Crashed in flames, two minutes after taking off from a military base."
3522,3522,1984/12/22,0,"Near Bhojpur, Nepal",Royal Nepal Airlines,/,6743,de Havilland Canada DHC-6 Twin Otter 300,OU-BBA,376,23.0,15.0,0.0,Crashed into mountain in poor weather off the intended course.
3523,3523,1984/12/23,18:10:00,"Near Kranoyarsk, Russia",Aeroflot,/,8282,Tupolev TU-154B-2,VF-GJT,338,110.0,110.0,0.0,The aircraft crashed while attempting an emergency landing after the No. 3 engine caught fire. Failure of a  compressor.
3524,3524,1985/01/01,20:30:00,"Near La Paz, Bolivia",Eastern Air Lines,"Asuncion, Paraguay - La Paz, Bolivia",7951,Boeing B-727-225 Adv,BI-AIM,22556/1793,29.0,29.0,0.0,"The aircraft hit Mt. Illimani at an altitude of 19,600 feet after being cleared to descend during an approach to La Paz. The crew did not follow the prescribed airway. Navigation error. Controlled flight into terrain."
3525,3525,1985/01/09,07:00:00,"Kansas City, Kansas",TPI International Airways,Detroit - Kansas City,9208,Lockheed L-188AF Electra,RH-MDA,1044,3.0,3.0,0.0,The cargo plane executed a missed approach because it was too high. The copilot mistakenly lined up with nearby Fairfax Airport to land. The captain took over and entered a steep climb for a go-around. The plane stalled and entered a dive and crashed into a water treatment plant. Improper IFR procedure. Airspeed not maintained which led to an inadvertent stall.
3526,3526,1985/01/18,0,"Jinan, China",CAAC,Nanjing - Jinan,7999,Antonov AN-24B,VD-IRA,27308110,41.0,38.0,0.0,Crashed after overshooting the runway in rain and fog.
3527,3527,1985/01/19,08:22:00,"Havana, Cuba",Cubana de Aviacion,Havana - Managua,7009,Ilyushin IL-18D,SU-LHX,188011102,38.0,38.0,0.0,The airliner crashed after takeoff. Failure of the artificial horizon and obstruction of aileron control due to shifted cargo.
3528,3528,1985/01/20,23:15:00,"Carson, New Mexico",Air Taxi,"Albuquerque, NM - Taos, NM -",5954,Bell 206 L-1,XB-KCF,3023,3.0,3.0,0.0,The helicopter crashed in open terrain during a turn to reverse direction. Witnesses stated the aircraft was heading north and was on a converging course with high tension lines that were about 80 to 100 ft high and the belly counted spotlight was illuminated when it passed overhead. The helicopter impacted snow covered terrain in a steep descending bank to the right at a high rate of speed on a southerly heading. The power lines showed no evidence of having been struck. Pilot did not maintain directional control.
3529,3529,1985/01/21,01:04:00,"Reno, Nevada",Galaxy Airlines,"Reno, NV - Minneapolis-St. Paul, MN",7864,Lockheed L-188A Electra,IO-JWM,1121,71.0,70.0,0.0,"The aircraft crashed while returning to the airport after reporting severe vibrations. While attempting to land, the aircraft crashed into a  field, bounced and slid into mobile homes. A ground handler forgot to close an air start access door. The crew's failure to control and monitor the flight path and air speed of the aircraft after detecting the vibration."
3530,3530,1985/01/22,09:35:00,"Off Puerto Castilla, Honduras",Military - U.S. Air Force,Howard AFB - Trujillo AP,5156,Lockheed C-130A,YB-OLQ,3109,21.0,21.0,0.0,"Crashed into the Caribbean sea, 8 miles northwest of the airport where it was scheduled to land."
3531,3531,1985/01/23,10:35:00,"Near Buga, Colombia",AIRES Colombia,Florencia - Cali,1893,Embraer 110P1 Bandeirante,OM-SID,110341,17.0,17.0,0.0,"The aircraft crashed into a mountain at 8,500 ft. while descending to land at Buga. Continued VFR flight into deteriorating weather conditions."
3532,3532,1985/01/23,10:35:00,"Cerro el Plateado, Colombia",Aerolineas Centrales de Colombia,Medellin - Quibdo,4402,de Havilland Canada DHC-6 Twin Otter 300,EP-NKZ,497,23.0,23.0,0.0,"Crashed into a mountain at 11,500 ft.  In rainand fog.  Flying under VFR when conditions changed to IFR."
3533,3533,1985/02/01,20:25:00,"Whitefield, New Hampshire",Air Taxi - Air Trends Inc.,"Burlington, VT - Whitefield, NH",8799,Piper PA-31-350,KE-RPX,1452,5.0,4.0,0.0,The aircraft crashed after executing a missed approach at Whitefield during IMC weather. The aircraft was seen at 300-400 ft agl during some part of the maneuvering near the airport. The aircraft seemed to be heading for the airport when last seen by ground observers. Fuel starvation. Fuel tank selector in wrong position.
3534,3534,1985/02/01,0,"Minsk, Belarus, USSR",Aeroflot,Minsk - Leningrad,7888,Tupolev TU-134A,LJ-KMO,63971,80.0,58.0,0.0,The aircraft crashed shortly after taking off from Minsk. Icing. Double engine failure.
3535,3535,1985/02/04,19:51:00,"Soldotna, Alaska",North PacifiAirlines,"Anchorage, AK - Anchorage, AK",4738,Beech Queen Air 65-A80,XF-NQA,LD-231,9.0,9.0,0.0,Crashed into trees while attempting a go-around in poor weather. Improper minimum descent atlitiude and missed approach. Improper inflight decision. Improper missed approach. Minimum descent altitude not maintained.
3536,3536,1985/02/06,09:43:00,"Altus, Oklahoma",Air Taxi - Oklahoma Airways Inc.,"Altus, OK - Oklahoma City, OK",3193,Cessna 402B,BX-ZGX,7422,2.0,2.0,0.0,"A witness saw smoke & fire trailing from the vicinity of the l eng. He stated that the aircraft's nose came up, the plane rolled to the left, then it entered a steep, nose down, inverted attitude just before it crashed & burned. Total failure of the exhaust manifold system. Inadequate inspection/maintenance."
3537,3537,1989/10/18,0,"Nasosny, Russia",Military - Russian Air Force,/,8502,Ilyushin IL-76MD,WW-QHK,33448421,57.0,57.0,0.0,Crashed into the Caspian sea after reporting an engine fire.
3538,3538,1985/02/09,12:48:00,"Central Point, Oregon",Air Taxi - Mercy Flights Inc.,"Gold Beach, OR - Metford, OR",2117,Gulfstream AC-680F,KC-GNP,6649,4.0,4.0,0.0,The pilot reported loss of power in both engines. Witness saw the aircraft gilding wings level towards the runway when a loud rev was heard. The aircraft then pitched up and rolled left to an inverted position before ground contact and explosion. Misjudged emergency procedure. Airspeed not maintained. Directional control not maintained. Throttle/power control not corrected.
3539,3539,1985/02/16,0,"Banjarmasin, Indonesia",Dirgantara Air Services,/,8599,Britten-Norman BN-2A Islander,WK-LYV,693,10.0,9.0,0.0,Struck a mountain in poor weather conditions.
3540,3540,1985/02/19,09:27:00,"Near Durango, Vizcaya, Spain",Iberia Airlines,Madrid - Bilbao,6398,Boeing B-727-256,XA-EWR,21777/1487,148.0,148.0,0.0,The aircraft crashed into an antenna on Mt. Oiz. Incorrect interpretation of Ground Proximity Warning System. The captain was heard shouting 'shut up' at the GPWS as it announced 'pull up.'  Overconfidence in altitude alert system. Incorrect interpretation of its warnings.
3541,3541,1985/02/19,10:15:00,"300 nm NW of San Francisco, California",China Airlines (Taiwan),Taipei - Los Angeles,7689,Boeing B-747-SP-09,DH-ZNE,22805/564,274.0,0.0,0.0,"The aircraft descended in an uncontrolable dive, from 41,000 to 9,500 ft. after the crew shut down an engine.  The captain, preoccupied the malfunctioning engine, didn't properly monitor instruments and over relied on the autopilot and did not use his rudder to keep the plane from rolling . The autopilot disengaged after it could not handle the excessive roll caused by the shut down engine. The captain failed to make the proper flight corrections to recover the aircraft. After a terrifying series of inadvertent aerobatics, the plane leveled off at 9,500 feet and managed to land safely at San Francisco. Forces during the inverted spin were estimated to be from +6G to -4G. The landing gear was forced out through the closed doors, breaking the doors, which flew back and took out part of the rudder and elevator."
3542,3542,1985/02/22,0,"Timbuktu, Mali",Air Mali,Tombouctou - Bamako,8694,Antonov AN-24V,YD-XJW,87304104,51.0,50.0,0.0,Crashed after taking off. The plane was not able to return to the airport after experiencing an engine failure.
3543,3543,1985/02/25,0,"Near Valdez, Alaska",Military - U.S. Air Force,/,1839,Boeing RC-135T,YE-FKI,17237/4,3.0,3.0,0.0,Struck a mountain in poor weather.
3544,3544,1985/03/12,0,"Fort Hood, Texas",Military - U.S. Air Force,Training,2629,Lockheed C-130E Hercules,SO-ECK,4044,6.0,6.0,0.0,Stalled during a training exercise and crashed.
3545,3545,1985/03/28,09:50:00,"Near Florencia, Colombia",SATENA,Bogota - San Vicente del Caguán - Florencia,2933,Fokker F-28 Fellowship 3000,UQ-YZH,11165,46.0,46.0,0.0,The domestiflight crashed into a mountain while attempting to land at Florencia in rain and fog.
3546,3546,1985/04/11,0,"Salta, Argentina",YPF,Buenos Aires - Salta,7926,HS-125-700B,OT-ZRG,257133,7.0,7.0,0.0,After an aborted landing attempt the aircraft struck a mountain in poor weather conditions.
3547,3547,1985/04/13,19:40:00,"Athens, Louisiana",Air Taxi - Eidoarie Inc.,"El Dorado, AR - Houston, TX",2476,Cessna 320B,DL-VDK,857,4.0,4.0,0.0,Crashed on a dark night while en route to Shreveport. Reason for occurrence unknown. Possible loss of DC power causing the pilot to lose control of the aircraft during a dark night and turbulent instrument flight.
3548,3548,1985/04/15,23:30:00,"Near Phuket, Thailand",Thai Airways,/,6693,Boeing B-737-200,QL-VBL,21810/604,11.0,11.0,0.0,The aircraft hit high ground during good weather conditions and after transmitting an emergency message that they had lost both engines.
3549,3549,1985/04/16,11:37:00,"Las Cruces, New Mexico",American Airlines,"Dallas, TX - San Diego, CA",2137,Boeing B-727-227,XZ-ZAO,20611/894,89.0,0.0,0.0,While cruising at FL 350 a loud noise was heard followed by a severe jolt. The No. 3 engine separated from the aircraft. A damaged O ring allowed leakage from the forward lavatory waste drain valve. Four gallons of fluid leaked and froze on the exterior of the plane and then broke away in chunks and smashed into the engine. They plane landed safely.
3550,3550,1985/04/19,00:00:00,"Tuba City, Arizona",Air Taxi - Monument Valley Air Service,"Tuba City, AZ - Page, AZ",1294,Cessna U206G,OS-PRH,2884,6.0,6.0,0.0,Medical transportation flight during the early morning hours in marginal weather conditions. The flight was not completed and was returning to the departure airport when it descended into desert terrain 10 miles short of its destination. Flight into known adverse weather.
3551,3551,1985/04/20,0,"Kulusuk, Greenland",Aeronica,Positioning,4257,Fokker F-27 Friendship 100,ST-HFU,10118,5.0,2.0,0.0,After a fuel transfer problem the plane crashed while trying to make an emergency landing in snow. Poor weather and failure of the crew to follow proper procedures with the auxiliary fuel system.
3552,3552,1985/04/20,0,"Santa Rosa, Bolivia",Carga Aereo Transportada,/,4012,Convair CV-440,VF-HCP,319,4.0,4.0,0.0,The cargo plane lost an engine on talkeoff nosed down and crashed.
3553,3553,1985/05/03,12:00:00,"Near L'vov, Ukraine, USSR",Aeroflot / Soviet Air Force,Tallin - L'vov,8067,Tupolev TU-134A / Antonov An-26,YC-LDI,23253 /,76.0,76.0,0.0,Midair collision as the Tupolev-134A prepared to land and the Antonov An-26 just took off.  Violations by the civil approach and military controllers. Misidentification of both aircraft. Seventy-one killed on the TU134 and twenty-three on the Antonov.
3554,3554,1985/05/06,12:50:00,"Off Tanegashima, Japan",Military - U.S. Marine Corps,"Iwakuni - Fulemma, Okinawa",5925,CH-53D,EG-XDL,7764,17.0,17.0,0.0,The helicopter crashed into the East China Sea.
3555,3555,1985/05/15,0,"Vilanculos, Mozambique",Empresa Nacional de Transp.  Trabalho Aereo,/,5960,Britten-Norman BN-2 Islander,YQ-UDV,219,5.0,5.0,0.0,Crashed while attempting an emergency landing along a beach.
3556,3556,1985/05/16,13:45:00,"Golovin, Alaska",Air Taxi,"Golovin, AK - Elim, AK",4300,Cessna C-207A,NS-MJQ,6138,5.0,2.0,0.0,"According to the pilot-in-command, he was attempting to fly through a mountain saddle. As he turned towards the mountain and began his climb the weather deteriorated rapidly with ceilings zero, visibility zero and severe turbulence. The airplane struck the side of a 1,707 foot high mountain at the 1,590 foot level on a magnetiheading of 015 degrees. The pilot-in-command stated that just prior to impact he could not see anything. Continued VFR flight into IMC. Poor judgement. Improper planning."
3557,3557,1985/05/21,20:15:00,"Harrison, Arkansas",Acme Air,"Branson, MO - Harrison, AR",5569,Cessna 501 Citation I,EI-UEV,501-0022,2.0,2.0,0.0,The plane struck a mountain while on approach. Improper IFR procedure. Improper use of navigational instruments. Low ceiling and rain.
3558,3558,1985/05/28,0,"Cabimas, Venezuela",Avensa,/,5493,Convair CV-580,FT-PLX,157,13.0,2.0,0.0,"The aircraft's tail struck a hill 1,500 feet from the end of the runway after which an emergency crash landing was made."
3559,3559,1985/05/31,23:00:00,"Nashville, Tennessee",General Aviation Inc.,Nashville - Indianapolis,3063,Grumman G-159 Gulfstream I,LA-KIG,181,2.0,2.0,0.0,The cargo plane crashed after losing the No. 1 engine. Fuel starvation. Pilot had the fuel selector for the No. 1 engine in the off and feathered position.
3560,3560,1985/06/14,0,"Athens, Greece",Trans World Airlines,Athens - Rome,3891,Boeing B-727-231,UE-MCM,20844/1065,153.0,1.0,0.0,The aircraft was hijacked while en route from Athens to Rome over Italian airspace. U.S. Navy diver Robert Stethem was murdered aboard.
3561,3561,1985/06/23,0,"Juara, Brazil",TABA,Juara - Cuiaba,6240,Embraer 110P Bandeirante,UU-SRS,110-063,17.0,17.0,0.0,The plane stalled and crashed into an emergency vehicle while making an emergency landing attempt after an engine caught fire. A faulty fuel injection nozzle caused a blow torch effect damaging the compressor turbine vane ring and causing thermal fatigue and loss of one of the turbine blades.The resulting imbalance ruptured the starting control bypass fuel return line.
3562,3562,1985/06/23,07:15:00,"AtlantiOcean, 110 miles West of Ireland",Air India,Montreal - London,2634,Boeing B-747-237B,MN-FUY,21473/330,329.0,329.0,0.0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named 'Kanishka.'"
3563,3563,1985/06/28,0,"Charlotte, North Carolina",Air Taxi,/,2328,Piper PA-42,NP-KGF,626,2.0,2.0,0.0,The aircraft collided with trees and a pole short of the runway during a night VFR approach to land.  Poor VFR procedures. Overconfildence in personal ability. Poor judgement. Proper altitude not maintained. Exceeded proper descent rate.
3564,3564,1985/07/10,23:45:00,"Near Uchuduk, Uzbekistan, USSR",Aeroflot,Karshi - Leningrad,8680,Tupolev TU-154B-2,FU-WCZ,311,200.0,200.0,0.0,The aircraft went into an uncontrolled descent from FL 400 and crashed.
3565,3565,1985/07/19,03:43:00,"Near Erie, Pennsylvania",Air Ohio - Air Taxi,"Louisville, KY - Cleveland, OH",8787,Aerostar 601,AF-RWN,6896,2.0,2.0,0.0,"During a normal IFR cruise flight, the pilot of air Ohio flight 21, did not respond to ATC instructions. Air Ohio flight 21 continued for 40 minutes with no reply and without deviation in altitude or heading until the discrete target disappeared from radar over Lake Erie. The pilot had not slept for approximately 30 hours prior to the loss of communication response."
3566,3566,1985/07/24,17:00:00,"Leticia, Colombia",Fuerza Aérea Colombiana,Leticia - Bogota,6253,Douglas DC-6B,WO-DSF,45067/709,80.0,80.0,0.0,"Crashed into the Amazon jungle in poor weather, after the crew reported a fire in the No. 3 engine. The last words from the aircraft was 'We're falling.'"
3567,3567,1985/08/02,18:06:00,"Ft. Worth-Dallas, Texas",Delta Air Lines,Fort Lauderdale - Dallas-Fort Worth,9062,Lockheed L-1011-1 TriStar,ZE-NOT,1163,163.0,134.0,1.0,"While on a flight from Fort Lauderdale, FL to Dallas/ Forth Worth, the aircraft crashed while making an landing attempt in thunderstorm activity. The plane touched down 6,000 feet short of the runway and 360 feet to the left of the runway centerline, became airborne again, struck a car killing the driver, crossed the highway and crashed into two water tank reservoirs. Microburst induced windshear. The flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain lightning. Lack of training for avoiding and escaping from low-altitude windshear."
3568,3568,1985/08/12,18:56:00,"Mt. Osutaka, near Ueno Village, Japan",Japan Air Lines,Tokyo - Osaka,2734,Boeing B-747-SR46,QY-VIZ,20783/230,524.0,520.0,0.0,"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song 'Sukiyaki' was killed in the accident."
3569,3569,1985/08/12,0,"Mulia, Indonesia",Merpati Nusantara Airlines,/,4935,de Havilland Canada DHC-6 Twin Otter 300,GK-YCK,346,19.0,8.0,0.0,/
